,multiclase1,ova_5,ova_1,ova_8,ova_6,ova_2,ova_3,ova_4,ova_7,ova_9
321,1,0,1,0,0,0,0,0,0,0
322,2,0,0,0,0,1,0,0,0,0
323,7,0,0,0,0,0,0,0,1,0
324,1,0,1,0,0,0,0,0,0,0
325,2,0,0,0,0,1,0,0,0,0
326,1,0,1,0,0,0,0,0,0,0
327,9,0,0,0,0,0,0,0,0,1
328,4,0,0,0,0,0,0,1,0,0
329,4,0,0,0,0,0,0,1,0,0
330,4,0,0,0,0,0,0,1,0,0
331,1,0,1,0,0,0,0,0,0,0
332,4,0,0,0,0,0,0,1,0,0
333,1,0,1,0,0,0,0,0,0,0
334,6,0,0,0,1,0,0,0,0,0
335,1,0,1,0,0,0,0,0,0,0
336,4,0,0,0,0,0,0,1,0,0
337,1,0,1,0,0,0,0,0,0,0
338,1,0,1,0,0,0,0,0,0,0
339,8,0,0,1,0,0,0,0,0,0
340,5,1,0,0,0,0,0,0,0,0
341,3,0,0,0,0,0,1,0,0,0
342,1,0,1,0,0,0,0,0,0,0
343,1,0,1,0,0,0,0,0,0,0
344,1,0,1,0,0,0,0,0,0,0
345,1,0,1,0,0,0,0,0,0,0
346,1,0,1,0,0,0,0,0,0,0
347,2,0,0,0,0,1,0,0,0,0
348,3,0,0,0,0,0,1,0,0,0
349,1,0,1,0,0,0,0,0,0,0
350,3,0,0,0,0,0,1,0,0,0
351,1,0,1,0,0,0,0,0,0,0
352,1,0,1,0,0,0,0,0,0,0
353,1,0,1,0,0,0,0,0,0,0
354,5,1,0,0,0,0,0,0,0,0
355,2,0,0,0,0,1,0,0,0,0
356,3,0,0,0,0,0,1,0,0,0
357,1,0,1,0,0,0,0,0,0,0
358,6,0,0,0,1,0,0,0,0,0
359,2,0,0,0,0,1,0,0,0,0
360,1,0,1,0,0,0,0,0,0,0
361,5,1,0,0,0,0,0,0,0,0
362,1,0,1,0,0,0,0,0,0,0
363,5,1,0,0,0,0,0,0,0,0
364,2,0,0,0,0,1,0,0,0,0
365,3,0,0,0,0,0,1,0,0,0
366,1,0,1,0,0,0,0,0,0,0
367,1,0,1,0,0,0,0,0,0,0
368,4,0,0,0,0,0,0,1,0,0
369,5,1,0,0,0,0,0,0,0,0
370,1,0,1,0,0,0,0,0,0,0
371,4,0,0,0,0,0,0,1,0,0
372,1,0,1,0,0,0,0,0,0,0
373,5,1,0,0,0,0,0,0,0,0
374,5,1,0,0,0,0,0,0,0,0
375,3,0,0,0,0,0,1,0,0,0
376,1,0,1,0,0,0,0,0,0,0
377,1,0,1,0,0,0,0,0,0,0
378,1,0,1,0,0,0,0,0,0,0
379,6,0,0,0,1,0,0,0,0,0
380,1,0,1,0,0,0,0,0,0,0
381,2,0,0,0,0,1,0,0,0,0
